"duration","age","gender","race","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","post_emotion_good","post_emotion_happy","post_emotion_tired","post_emotion_tense","panas_1","panas_2","panas_3","panas_4","panas_5","panas_6","panas_7","panas_8","panas_9","panas_10","ft_rep_sup","ft_dem_sup","ft_rep","ft_dem","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_neonazi","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","partisanship","condition"
402,43,1,5,3,5,5,3,3,2,5,4,2,3,4,2,5,5,3,3,3,4,4,3,3,3,2,3,3,4,21,53,0,51,54,35,40,20,17,4,4,4,4,2,4,4,4,2,4,5,4,4,4,2,3,2,3,3,2,"Democrat","HappyW"
2076,29,0,5,3,7,7,5,7,5,1,6,3,0,4,2,7,7,5,7,4,4,4,4,4,4,4,4,4,4,0,100,0,100,100,0,100,100,0,2,2,1,1,3,4,4,1,1,1,7,7,7,1,1,1,1,1,1,1,"Democrat","HappyQ"
569,25,1,1,5,7,7,7,7,6,6,5,6,7,4,2,7,7,7,7,5,4,4,6,4,6,4,4,4,6,81,33,90,41,41,68,33,13,0,2,2,4,2,4,4,4,3,2,5,7,3,7,1,1,1,5,4,1,1,"Republican","HappyP"
412,27,1,5,3,7,7,3,7,4,1,4,1,5,4,2,7,7,3,7,7,7,7,7,7,7,7,7,7,7,51,51,51,50,51,51,77,7,1,6,6,6,6,4,4,4,5,5,5,5,2,5,1,1,3,2,3,2,1,"Republican","HappyQ"
188,46,1,5,3,6,7,5,6,6,6,6,4,7,4,2,6,6,6,6,5,5,5,4,4,5,4,5,4,4,71,66,57,62,66,51,58,57,22,5,6,6,6,5,5,4,6,6,6,6,5,6,3,3,3,4,3,2,3,"Republican","HappyP"
328,32,1,6,6,6,6,5,6,1,1,1,1,7,1,2,6,6,6,6,5,6,6,6,6,7,5,5,5,7,51,51,51,51,51,51,51,51,51,5,5,5,5,4,4,4,5,5,5,1,1,1,1,1,1,1,1,2,1,"Republican","HappyW"
438,48,1,3,2,5,4,3,7,7,7,6,6,10,7,2,6,4,5,5,5,7,7,5,7,4,7,4,7,7,80,0,87,0,0,100,60,71,100,2,2,5,5,1,1,1,6,6,2,7,3,6,4,4,1,1,5,1,1,"Republican","Control"
606,46,0,5,3,4,4,4,4,7,7,4,4,10,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,51,51,91,0,0,93,19,0,0,2,4,5,3,4,4,4,6,4,2,4,5,3,4,3,3,5,4,3,3,"Republican","HappyQ"
373,35,0,5,3,7,7,4,7,7,7,7,1,0,4,2,7,7,4,7,4,7,4,4,4,7,4,7,7,7,100,50,100,50,100,100,100,100,0,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,1,"Republican","HappyW"
1124,39,1,5,3,6,6,6,6,7,6,7,5,10,6,2,6,6,6,6,4,4,4,4,4,5,3,3,4,5,91,17,90,29,9,100,79,23,0,3,3,3,3,7,7,7,4,3,4,5,5,5,4,3,3,4,3,3,1,"Republican","Control"
579,25,1,5,3,7,7,7,7,4,4,6,6,6,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,91,82,85,93,84,84,82,90,79,4,4,4,4,5,5,5,4,4,4,4,3,4,4,4,5,4,5,4,2,"Republican","HappyP"
396,29,1,3,3,1,3,4,3,7,7,7,7,9,6,2,4,6,5,5,5,5,6,4,5,3,4,4,5,5,84,23,91,23,55,35,18,82,39,6,5,4,4,6,6,4,5,7,4,6,6,4,5,5,3,3,5,2,1,"Republican","HappyW"
391,45,1,5,5,7,7,7,6,5,2,6,2,6,5,2,7,6,7,5,5,6,7,2,4,6,4,2,5,6,55,71,70,41,64,76,73,37,0,6,5,7,6,6,7,6,7,6,5,4,4,5,2,1,4,2,4,1,1,"Republican","HappyQ"
693,31,0,6,3,7,7,7,7,7,2,5,3,6,6,2,7,7,7,7,6,4,7,4,6,6,5,7,4,7,89,10,72,23,59,79,59,0,0,2,2,3,1,6,5,6,2,1,2,7,1,2,2,2,4,4,2,2,1,"Republican","Control"
18115,51,1,6,3,7,7,5,7,4,6,7,5,6,4,2,7,7,5,7,3,5,5,4,4,5,4,4,4,7,95,31,85,28,31,99,51,40,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,1,3,3,3,"Republican","HappyQ"
1189,19,1,4,3,5,5,4,5,4,4,4,4,5,2,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,51,51,51,51,51,51,51,51,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,2,"Republican","HappyP"
