"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
885,45,5,1,4,"opponent",4,6,2,50,15,15,60,60,0,51,35,5,50,30,0,2,3,3,1,2,1,1,"ANXW",6,4,5,4,4,3,4,3,2,2,3,1,2,4,4,4,3,0,1,1
567,27,1,1,2,"supporter",5,5,2,30,32,58,15,48,40,42,42,55,27,58,18,4,2,4,3,1,2,4,"ANXW",4,4,5,4,5,4,5,1,1,2,4,2,6,2,2,6,4,0,0,0
1075,31,4,1,6,"supporter",8,4,2,83,77,83,77,83,66,82,83,83,84,70,60,2,3,1,2,1,1,1,"ANGW",6,4,5,5,4,4,5,5,5,5,5,3,4,4,3,1,4,0,1,0
507,36,5,1,5,"opponent",5,4,2,64,6,32,65,68,7,48,51,42,53,21,9,4,3,3,1,2,1,1,"ANXW",5,5,4,1,4,4,4,4,6,6,6,5,5,4,4,3,4,0,0,0
657,21,4,2,3,"supporter",4,2,2,28,43,41,47,55,45,44,42,41,38,49,54,2,3,2,1,2,1,1,"ANGW",3,3,5,4,2,2,2,2,3,3,2,3,3,4,2,3,3,0,0,0
749,21,3,1,4,"supporter",7,4,2,73,50,75,24,87,50,50,84,76,77,86,0,1,3,2,1,4,3,1,"ANXW",5,4,5,2,4,3,6,4,5,2,6,7,4,3,1,2,5,0,0,1
5381,56,1,1,3,"supporter",10,5,2,80,0,80,5,100,0,10,90,5,0,60,0,1,5,5,5,5,5,1,"ANXW",6,7,7,5,4,1,3,4,4,4,4,4,4,5,4,4,4,0,0,1
342,51,3,1,2,"supporter",10,4,2,50,15,22,23,55,22,30,15,28,47,32,25,2,3,4,2,2,3,1,"ControlW",1,2,3,2,2,3,2,3,3,5,4,3,3,3,1,3,3,0,0,0
554,31,2,1,5,"opponent",5,1,2,58,48,55,47,46,47,49,47,4,51,48,42,3,3,3,3,3,2,2,"ControlW",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0
649,50,1,2,3,"opponent",3,5,2,91,4,0,98,92,3,57,39,57,69,38,9,2,3,2,1,2,1,1,"ControlW",6,4,4,4,3,1,4,2,4,4,4,4,2,5,4,3,4,0,0,0
