"duration","age","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","sam","ft_inparty_supporter","ft_outparty_supporter","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","ideology_cat"
267,45,1,5,5,5,5,5,4,4,4,4,6,1,2,5,69,80,80,76,5,78,0,9,6,4,4,4,4,4,4,4,6,6,1,1,1,1,1,1,1,1,2,1,1,"ControlW","right"
635,35,1,8,5,5,5,4,5,5,5,2,3,6,2,7,71,15,76,19,69,19,51,59,39,3,3,4,5,3,3,4,3,2,4,5,6,5,4,2,2,3,4,2,2,"HappyP","left"
471,50,1,5,6,6,4,7,4,4,4,1,7,4,2,8,68,35,88,34,46,51,55,49,33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,2,1,"HappyP","right"
560,55,1,5,4,4,4,4,4,4,4,4,4,4,2,5,61,34,57,37,51,44,51,51,54,4,4,6,5,4,4,4,5,4,4,4,4,3,4,2,3,2,3,3,1,"ControlP","left"
375,19,1,6,5,4,5,5,6,6,4,6,1,5,2,7,91,0,85,0,92,28,68,100,12,4,4,4,4,5,3,5,4,4,4,3,3,3,2,1,2,1,1,1,2,"ControlQ","left"
701,57,0,6,3,5,2,2,6,4,4,6,7,7,2,7,83,16,97,2,24,54,51,30,61,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,5,4,3,1,"HappyW","right"
696,63,0,9,5,6,4,6,4,4,4,4,7,5,2,7,65,65,70,70,51,51,51,51,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,2,1,"ControlQ","right"
685,44,0,5,4,4,3,3,4,4,5,5,8,6,2,5,71,47,59,42,47,62,46,42,59,3,3,3,3,5,5,5,4,2,3,2,4,4,5,2,5,4,5,5,1,"ControlP","right"
353,40,1,9,7,7,7,7,7,7,7,7,0,7,2,9,83,0,81,0,100,0,100,86,0,1,1,1,4,1,1,1,1,1,1,7,7,7,1,1,1,1,5,1,1,"ControlW","left"
1041,65,0,6,6,6,7,7,4,4,4,1,2,5,2,8,68,14,85,0,65,43,71,64,22,1,1,2,2,3,4,3,4,1,3,7,6,5,2,1,1,1,1,1,1,"HappyQ","left"
602,53,1,9,5,5,4,7,4,4,4,1,3,4,2,7,51,2,51,1,51,15,51,51,51,3,4,4,2,4,4,4,4,1,3,6,4,4,5,3,4,4,3,1,1,"HappyQ","left"
419,62,1,2,5,6,5,5,6,6,6,4,8,4,2,8,81,0,80,0,0,81,41,16,0,2,2,4,4,4,5,4,3,3,3,4,4,4,4,5,2,2,2,1,1,"HappyP","right"
642,53,0,3,6,5,5,6,5,4,4,4,3,4,2,7,60,39,69,19,54,40,37,21,39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,2,1,1,"HappyW","left"
419,62,0,3,5,6,3,5,5,5,4,4,8,2,2,5,72,9,65,2,30,74,64,51,40,3,3,4,5,4,4,4,5,3,3,3,4,3,4,2,4,5,4,2,2,"ControlW","right"
316,44,0,8,6,6,6,6,4,4,4,4,6,5,2,7,51,0,51,0,51,57,51,52,51,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,"ControlQ","right"
798,51,0,7,6,7,6,6,6,6,6,5,8,5,2,8,80,10,90,10,20,75,50,31,75,2,2,4,4,5,3,4,4,2,3,7,3,4,5,2,3,2,4,2,1,"HappyP","right"
741,60,1,6,5,5,5,5,4,3,4,3,4,3,2,8,65,40,65,30,60,41,55,60,40,5,5,5,5,6,6,6,5,4,5,4,3,3,2,2,2,2,2,2,1,"HappyW","left"
